"LEVEL","ChinesePorcelain","CoarseEarthenware","CoarseEarthenwareTable","Colonoware","NativeAmerican","Porcelain","RefinedEarthenware","RefinedStoneware","Stoneware","TinEnameled","Unidentifiable","sumrow","ChinesePorcelainRF","CoarseEarthenwareRF","PorcelainRF","CoarseEarthenwareTabRF","RefinedEarthenwareRF","StonewareRefRF","StonewareRF","TinEnameledRF","UnidentifiableRF","NativeAmericanRF","ColonowareRF"
"L01",0,1,0,13,3,0,0,1,0,2,0,20,0,0.05,0,0,0,0.05,0,0.1,0,0.15,0.65
"L02",6,8,19,2,0,1,11,28,2,12,0,89,0.0674157303370786,0.0898876404494382,0.0112359550561798,0.213483146067416,0.123595505617978,0.314606741573034,0.0224719101123595,0.134831460674157,0,0,0.0224719101123595
"L03",5,12,25,0,0,1,5,20,0,12,1,81,0.0617283950617284,0.148148148148148,0.0123456790123457,0.308641975308642,0.0617283950617284,0.246913580246914,0,0.148148148148148,0.0123456790123457,0,0
"L04",1,2,0,2,1,0,2,6,0,7,0,21,0.0476190476190476,0.0952380952380952,0,0,0.0952380952380952,0.285714285714286,0,0.333333333333333,0,0.0476190476190476,0.0952380952380952
"L05",9,2,30,0,0,0,8,34,0,20,0,103,0.087378640776699,0.0194174757281553,0,0.29126213592233,0.0776699029126214,0.330097087378641,0,0.194174757281553,0,0,0
"L06",5,6,1,0,1,2,1,12,3,6,0,37,0.135135135135135,0.162162162162162,0.0540540540540541,0.027027027027027,0.027027027027027,0.324324324324324,0.0810810810810811,0.162162162162162,0,0.027027027027027,0
"L07",12,5,1,1,0,0,1,31,0,18,0,69,0.173913043478261,0.072463768115942,0,0.0144927536231884,0.0144927536231884,0.449275362318841,0,0.260869565217391,0,0,0.0144927536231884
"L08",17,5,0,2,0,0,1,34,1,22,0,82,0.207317073170732,0.0609756097560976,0,0,0.0121951219512195,0.414634146341463,0.0121951219512195,0.268292682926829,0,0,0.024390243902439
"L09",11,7,0,1,1,0,2,15,2,25,0,64,0.171875,0.109375,0,0,0.03125,0.234375,0.03125,0.390625,0,0.015625,0.015625
"L10",14,6,0,6,0,0,2,14,0,22,0,64,0.21875,0.09375,0,0,0.03125,0.21875,0,0.34375,0,0,0.09375
"L11",10,5,0,4,0,0,1,27,2,14,0,63,0.158730158730159,0.0793650793650794,0,0,0.0158730158730159,0.428571428571429,0.0317460317460317,0.222222222222222,0,0,0.0634920634920635
"L12",11,0,14,0,0,0,0,19,0,12,0,56,0.196428571428571,0,0,0.25,0,0.339285714285714,0,0.214285714285714,0,0,0
"L13",0,0,1,3,0,0,0,7,0,10,0,21,0,0,0,0.0476190476190476,0,0.333333333333333,0,0.476190476190476,0,0,0.142857142857143
"L14",0,1,1,2,0,0,2,5,0,3,0,14,0,0.0714285714285714,0,0.0714285714285714,0.142857142857143,0.357142857142857,0,0.214285714285714,0,0,0.142857142857143
"L15",2,0,1,0,0,0,0,3,0,2,0,8,0.25,0,0,0.125,0,0.375,0,0.25,0,0,0
"L16",5,1,2,2,0,0,2,11,0,6,0,29,0.172413793103448,0.0344827586206897,0,0.0689655172413793,0.0689655172413793,0.379310344827586,0,0.206896551724138,0,0,0.0689655172413793
"UNPROV",7,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0
NA,7,4,204,0,0,0,1,2,0,0,0,218,0.0321100917431193,0.018348623853211,0,0.935779816513762,0.00458715596330275,0.00917431192660551,0,0,0,0,0
