"Context","ChinesePorcelain","CoarseEarthenware","CoarseEarthenwareTable","Colonoware","NativeAmerican","Porcelain","RefinedEarthenware","RefinedStoneware","Stoneware","TinEnameled","Unidentifiable","sumrow","ChinesePorcelainRF","CoarseEarthenwareRF","PorcelainRF","CoarseEarthenwareTabRF","RefinedEarthenwareRF","StonewareRefRF","StonewareRF","TinEnameledRF","UnidentifiableRF","NativeAmericanRF","ColonowareRF"
"F026",82,30,20,21,1,0,11,166,5,134,0,470,0.174468085106383,0.0638297872340425,0,0.0425531914893617,0.0234042553191489,0.353191489361702,0.0106382978723404,0.285106382978723,0,0.00212765957446809,0.0446808510638298
"F065",19,17,119,157,15,0,12,58,16,204,0,617,0.0307941653160454,0.0275526742301459,0,0.192868719611021,0.0194489465153971,0.0940032414910859,0.0259319286871961,0.33063209076175,0,0.0243111831442464,0.254457050243112
"F166",77,229,778,36,2,0,1,265,67,608,0,2063,0.0373242850218129,0.11100339311682,0,0.377120698012603,0.000484730974309258,0.128453708191953,0.0324769752787203,0.294716432380029,0,0.000969461948618517,0.0174503150751333
"L03",73,78,256,50,2,7,90,177,28,134,0,895,0.0815642458100559,0.0871508379888268,0.00782122905027933,0.286033519553073,0.100558659217877,0.197765363128492,0.0312849162011173,0.149720670391061,0,0.00223463687150838,0.0558659217877095
"L03A",197,88,439,59,1,26,485,367,61,367,7,2097,0.0939437291368622,0.0419647114926085,0.0123986647591798,0.209346685741536,0.231282784930854,0.175011921793038,0.0290891750119218,0.175011921793038,0.0033381020505484,0.000476871721506915,0.028135431568908
"L03B",210,152,394,46,6,13,107,348,37,303,2,1618,0.129789864029666,0.0939431396786156,0.00803461063040791,0.243510506798517,0.0661310259579728,0.215080346106304,0.0228677379480841,0.187268232385661,0.00123609394313968,0.00370828182941904,0.0284301606922126
"L04",520,362,1114,125,10,18,109,1095,101,708,3,4165,0.12484993997599,0.0869147659063625,0.00432172869147659,0.267466986794718,0.0261704681872749,0.262905162064826,0.024249699879952,0.169987995198079,0.000720288115246098,0.00240096038415366,0.0300120048019208
"L05",449,213,1017,233,30,9,93,853,91,600,5,3593,0.12496521013081,0.0592819370999165,0.00250487058168661,0.283050375730587,0.0258836626774283,0.237406067353187,0.0253270247703869,0.166991372112441,0.00139159476760367,0.00834956860562204,0.0648483161703312
"L06",239,130,613,128,4,6,43,316,69,444,1,1993,0.119919719016558,0.0652282990466633,0.00301053687907677,0.307576517812343,0.0215755143000502,0.158554942298043,0.0346211741093828,0.222779729051681,0.000501756146512795,0.00200702458605118,0.0642247867536377
"L07",168,273,1015,280,20,1,15,389,123,972,0,3256,0.0515970515970516,0.0838452088452089,0.000307125307125307,0.311732186732187,0.00460687960687961,0.119471744471744,0.0377764127764128,0.298525798525799,0,0.00614250614250614,0.085995085995086
"L08",17,55,230,117,93,1,4,59,16,242,0,834,0.0203836930455636,0.065947242206235,0.00119904076738609,0.275779376498801,0.00479616306954436,0.0707434052757794,0.0191846522781775,0.290167865707434,0,0.111510791366906,0.140287769784173
